functionname,protocol,device,subdevice,function
POWER,RCA,15,-1,42
ANTENNA,RCA,15,-1,5
CLEAR,RCA,15,-1,6
MENU,RCA,15,-1,8
PIP FREEZE,RCA,15,-1,12
RESET,RCA,15,-1,18
PIP MOVE,RCA,15,-1,20
REC*VCR+,RCA,15,-1,23
GUIDE,RCA,15,-1,26
PIP ON/OFF,RCA,15,-1,27
CHANNEL - PREVIOUS,RCA,15,-1,39
CHANNEL - DOWN,RCA,15,-1,44
CHANNEL - UP,RCA,15,-1,45
VOLUME - DOWN,RCA,15,-1,46
VOLUME - UP,RCA,15,-1,47
0,RCA,15,-1,48
1,RCA,15,-1,49
2,RCA,15,-1,50
3,RCA,15,-1,51
4,RCA,15,-1,52
5,RCA,15,-1,53
6,RCA,15,-1,54
7,RCA,15,-1,55
8,RCA,15,-1,56
9,RCA,15,-1,57
POWER ON,RCA,15,-1,58
POWER OFF,RCA,15,-1,59
INFO,RCA,15,-1,60
VOLUME - MUTE,RCA,15,-1,63
SKIP,RCA,15,-1,83
COMMERCIAL SKIP,RCA,15,-1,83
CURSOR - LEFT,RCA,15,-1,86
CURSOR - RIGHT,RCA,15,-1,87
CURSOR - DOWN,RCA,15,-1,88
CURSOR - UP,RCA,15,-1,89
SOUND,RCA,15,-1,90
-,RCA,15,-1,100
+,RCA,15,-1,101
INPUT SOURCE,RCA,15,-1,163
CURSOR - ENTER,RCA,15,-1,244
